BWV,2a,Date,Name,Key,Scoring,BG,NBE,Additional info,BD
56,1.,1726-10-27,Cantata Ich will den Kreuzstab gerne tragen (Trinity XIX),G min.,bSATB 2Ob Tai Str Vc Bc,122: 87,I/24: 173,"after Z 6773 (/5); text by Birkmann, Franck, J. (/5)",00071
56/5,1.,1726-10-27,"chorale setting ""Du, o schönes Weltgebäude"" (s. 6)",C Dor.,SATB,122: 104,III/2.2: 48,"after Z 6773; text by Franck, J.",11300
57,1.,1725-12-26,Cantata Selig ist der Mann (Christmas 2),G min.,sbSATB 2Ob Tai Str Bc,122: 105,I/3.1: 83,"after Z 1912a–c (/8); text by Lehms, Fritsch (/8), after Jm 1:12 (/1)",00072
57/8,1.,1725-12-26,"chorale setting ""Hast du denn, Jesu, dein Angesicht gänzlich verborgen"" (s. 6)",B♭ maj.,SATB,122: 132,III/2.2: 50,after Z 1912a–c; text by Fritsch,11323
58.2,1.,1733-01-04 or 1734-01-03,"Cantata Ach Gott, wie manches Herzeleid (New Year I)",C maj.,sb 2Ob Tai Vl Str Bc,122: 133,I/4: 217,"after BWV 58.1; text by Birkmann, Moller (/1), Behm (/5)",00073
58.1,1.,1727-01-05,"Cantata Ach Gott, wie manches Herzeleid (New Year I; early version)",C maj.,sb Vl Str Bc,,I/4: 241,"after Z 533a (/1, /5); text by Birkmann, Moller (/1), Behm (/5); → BWV 58.2",00074
59,1.,1724-05-28,"Cantata Wer mich liebet, der wird mein Wort halten (Pentecost)",C maj.,sbSATB 2Tr Tmp Str Bc,122: 151,I/13: 65,"after Z 7445a (/3); text by Neumeister, Luther (/3), after Jh 14:23 (/1); → BWV 74/1–/2, 175/7",00075
60,1.,1723-11-07,"Cantata O Ewigkeit, du Donnerwort (Trinity XXIV)",D maj.,atbSATB Hn 2Oba Str Bc,122: 169,I/27: 1,"after Z 5820 (/1), 7173 (/5); text by Rist (/1), Burmeister (/5), after Rv 14:13 (/4)",00076
60/5,1.,1723-11-07,"chorale setting ""Es ist genug, so nimm"" (s. 5)",A maj.,SATB,122: 190,III/2.1: 37 III/2.2: 127,after Z 7173; text by Burmeister,11203
61,1.,1714-12-02,"Cantata Nun komm, der Heiden Heiland (Advent I – first setting)",A min.,stbSATB Fag 2Vl 2Va Bc,16: 1,I/1: 1,"after Z 1174 (/1), 8359 (/6); text by Neumeister, Luther (/1), Nicolai (/6), after Rv 3:20 (/4)",00077
62,1.,1724-12-03,"Cantata Nun komm, der Heiden Heiland (Advent I – second setting)",B min.,satbSATB Hn 2Ob Str Bc,16: 19,I/1: 75,after Z 1174; text after Luther,00078
62/6,1.,1724-12-03,"chorale setting ""Nun komm, der Heiden Heiland"" (s. 8)",B min.,SATB,16: 50,III/2.1: 68,after Z 1174; text by Luther,11234
62/6,1.,1724-12-03,"chorale setting ""Nun komm, der Heiden Heiland"" (s. 8)",A min.,SATB,,III/2.2: 97,after Z 1174; text by Luther,11234
63,1.,1714-12-25 1723-12-25,"Cantata Christen, ätzet diesen Tag (Christmas; two versions)",C maj.,satbSATB 4Tr Tmp 3Ob Bas Str Bc,16: 51,I/2: 1,text by Heineccius?,00079
64,1.,1723-12-27,"Cantata Sehet, welch eine Liebe hat uns der Vater erzeiget (Christmas 3)",E min.,sabSATB Cnt 3Tbn Oba Str Bc,"16: 111, 371",I/3.1: 113,"after Z 1947 (/2), 5206b–c (/4), 8032 (/8); text after Knauer , 1Jh 3:1 (/1), by Luther (/2), Kindermann (/4), Franck, J. (/8)",00080
64/2,1.,1723-12-27,"chorale setting ""Gelobet seist du, Jesu Christ"" (s. 7)",G maj.,SATB,16: 371,III/2.1: 16 III/2.2: 92,after Z 1947; text by Luther,11179
64/4,1.,1723-12-27,"chorale setting ""Was frag ich nach der Welt"" (s. 1)",D maj.,SATB,16: 372,III/2.1: 16 III/2.2: 151,after Z 5206b–c; text by Kindermann,11180
64/8,1.,1723-12-27,"chorale setting ""Jesu, meine Freude"" (s. 5)",E min.,SATB,16: 132,III/2.1: 15 III/2.2: 80,"after Z 8032; text by Franck, J.",11178
65,1.,1724-01-06,Cantata Sie werden aus Saba alle kommen (Epiphany),C maj.,tbSATB 2Hn 2Fl 2Odc Str Bc,16: 133,I/5: 1,"after Z 192b (/2), 7568 (/7); text after Is 60:6 (/1), by Spangenberg (/2), Gerhardt (/7)",00081
65/2,1.,1724-01-06,"chorale setting ""Ein Kind geboren zu Bethlehem"" (s. 4)",A min.,SATB,16: 152,III/2.2: 9,after Z 192b; text by Spangenberg,11342
65/2,1.,1724-01-06,"chorale setting ""Puer natus in Bethlehem""",A min.,SATB,16: 152,III/2.2: 9,after Z 192b,11342
65/7,1.,1724-01-06,"chorale setting ""Ich hab in Gottes Herz und Sinn"" (s. 10)",A min.,SATB,16: 166,III/2.2: 24,after Z 7568; text by Gerhardt,11337
65/7,1.,1724-01-06,"chorale setting ""Was mein Gott will, das gscheh allzeit""",A min.,SATB,16: 166,III/2.2: 24,after Z 7568; text by Albert of Prussia,11337
66.2,1.,1724-04-10,"Cantata Erfreut euch, ihr Herzen (Easter 2)",D maj.,atbSATB Tr 2Ob Str Bc,16: 167,I/10: 1,"after BWV 66.1/8, /1–/4, Z 8584/3",00082
66.2/6,1.,1724-04-10,"chorale setting ""Alleluja"", s. 3 from ""Christ ist erstanden""",F♯ min.,SATB,16: 214,III/2.1: 57,after Z 8584/3,11222
66.1,1.,1718-12-10,Secular cantata Der Himmel dacht auf Anhalts Ruhm und Glück (birthday of Leopold of Anhalt-Köthen),,atbSATB 2Ob Bas Str Bc (?),,I/35,text by Hunold; → BWV 66.2/1–/5,00083
67,1.,1724-04-16,Cantata Halt im Gedächtnis Jesum Christ (Quasimodogeniti),A maj.,atbSATB Hn Fl 2Oba Str Bc,16: 215,I/11.1: 1,"after Z 1743 (/4), 4373 (/7); text after 2Ti 2:8 (/1), Jh 20:19 (/6; → BWV 234/2), by Herman (/4), Ebert (/7)",00084
67/7,1.,1724-04-16,"chorale setting ""Du Friedefürst, Herr Jesu Christ"" (s. 1)",A maj.,SATB,16: 246,III/2.1: 10 III/2.2: 25,after Z 4373; text by Ebert,11174
68,1.,1725-05-21,Cantata Also hat Gott die Welt geliebt (Pentecost 2),D min.,sbSATB Hn Cnt 3Tbn 2Ob Tai Str Vc Bc,16: 247,I/14: 31,"after Z 5920 (/1), BWV 208/13 (/2) and /7 (/4); text by Ziegler, C. M., Liscow (/1), after Jh 3:18 (/5)",00085
69.2,1.,1748-08-26,"Cantata Lobe den Herrn, meine Seele (council election)",D maj.,satbSATB 3Tr Tmp 3Ob Oba Bas Str Bc,16: 281,I/32.2: 111,"after BWV 69.1/1, /3, /5, Z 7247 (/6); text after Knauer , Ps 103:2 (/1), by Luther (/6)",00086
69.2/6,1.,1748-08-26,"chorale setting ""Es woll uns Gott genädig sein"" (s. 3)",D maj.,SATB,16: 325,III/2.2: 192,after Z 7247; text by Luther,11303
69.1,1.,1723-08-15,"Cantata Lobe den Herrn, meine Seele (Trinity XII)",D maj.,satbSATB 3Tr Tmp Fl 3Ob Oba Odc Bas Str Bc,16: 373,I/20: 117,"after BWV 12/7 (/6); text after Knauer , Ps 103:2 (/1), by Rodigast (/6); → BWV 69.2/1, /3, /5",00087
69.1/6,1.,1723-08-15,"chorale setting ""Was Gott tut, das ist wohlgetan"" (s. 6)",G maj.,SATB,16: 379,III/2.1: 55 III/2.2: 174,after BWV 12/7; text by Rodigast,11219
70.2,1.,1723-11-21,Cantata Wachet! Betet! Betet! Wachet! (Trinity XXVI),C maj.,satbSATB Tr Ob Str Vc Bc,16: 327,I/27: 107,"after BWV 70.1, Z 6543 (/7); text by Franck, S, Keymann (/11)",00088
70.2/11,1.,1716-12-06,"chorale setting ""Meinen Jesum laß ich nicht, weil"" (s. 5)",C maj.,SATB,16: 368,III/2.2: 200,= BWV 70.1/6,11308
70.1,1.,1716-12-06,Cantata Wachet! Betet! Betet! Wachet! (Advent II),C maj.,satbSATB Tr Ob Str Vc Bc,16: 327,I/1,"after Z 3449 (/6); text by Franck, S, Keymann (/6); → BWV 70.2/1, /3, /5, /8, /10, /11",00089
71,1.,1708-02-04,Cantata Gott ist mein König (council election),D maj.,satbSATB 3Tr Tmp 2Fl Vc 2Ob Bas Str Vne Org,18: 1,I/32.1: 3,"after Z 5148 (/2); text by Eilmar?, Heermann & after 2Sm 19:35 & 37 (/2), Ps 74:12 (/1), 16–17 (/4), 19 (/6), Dt 33:25 & Gn 21:22b (/3)",00090
72,1.,1726-01-27,Cantata Alles nur nach Gottes Willen (Epiphany III),A min.,sabSATB 2Ob Str Bc,18: 55,I/6: 59,"after Z 7568 (/6); text by Franck, S, Albert of Prussia (/6); /1 → BWV 235/2",00091
73,1.,1724-01-23,"Cantata Herr, wie du willt, so schicks mit mir (Epiphany III)",G min.,stbSATB Hn 2Ob Str Bc,18: 85,I/6: 3,"after Z 4441a (/1), 5264b (/5); text by Bienemann  (/1), Helmbold (/5)",00092
73/5,1.,1724-01-23,"chorale setting ""Von Gott will ich nicht lassen"" (s. 9)",C min. A min.,SATB,18: 104,III/2.2: 107,after Z 5264b; text by Helmbold,11310
74,1.,1725-05-20,"Cantata Wer mich liebet, der wird mein Wort halten (Pentecost)",C maj.,satbSATB 3Tr Tmp 2Ob Odc Str Bc,18: 105,I/13: 83,"after BWV 59/1 & /4 (/1–/2), Z 2496 (/8); text by Ziegler, C. M., Gerhardt (/8), after Jh 14:23 (/1), 28 (/4), Rm 8:1 (/6)",00093
74/8,1.,1725-05-20,"chorale setting ""Gott Vater, sende deinen Geist"" (s. 2)",A min.,SATB,18: 146,III/2.1: 78 III/2.2: 212,after Z 2496; text by Gerhardt,11245
74/8,1.,1725-05-20,"chorale setting ""Kommt her zu mir, spricht Gottes Sohn""",A min.,SATB,18: 146,III/2.1: 78 III/2.2: 212,after Z 2496; text by Grünwald,11245
75,1.,1723-05-30,Cantata Die Elenden sollen essen (Trinity I),E min.,satbSATB Tr 2Ob Oba Bas Str Bc,18: 147,I/15: 85,"after Z 5629 (/7=/14: → BWV 100/6); text after Ps 22:27 (/1), by Rodigast (/7, /14)",00094
76,1.,1723-06-06,Cantata Die Himmel erzählen die Ehre Gottes (Trinity II),C maj.,satbSATB Tr 2Ob Oba Str Vdg Bc,18: 189,I/16: 1,"after Z 7247 (/7=/14); text after Ps 12:2 & 4 (/1), by Luther (/7, /14); /8 ↔ BWV 528/1",00095
77,1.,1723-08-22,"Cantata Du sollt Gott, deinen Herren, lieben (Trinity XIII)",C maj.,satbSATB Tdt 2Ob Str Bc,18: 233,I/21: 1,"after Z 4431 (/6); text after Knauer, Lk 10:27 (/1), by Denicke? (/6)",00096
77/6,1.,1723-08-22,"chorale setting ""Wenn einer alle Ding verstünd"" (s. 8)?",G min.,SATB,18: 254,III/2.1: 14 III/2.2: 150,after Z 4431; text by Denicke,11176
77/6,1.,1723-08-22,"chorale setting ""Ach Gott, vom Himmel sieh darein""",G min.,SATB,18: 254,III/2.1: 14 III/2.2: 150,after Z 4431; text by Luther,11176
78,1.,1724-09-10,"Cantata Jesu, der du meine Seele (Trinity XIV)",G min.,satbSATB Hn Fl 2Ob Str Vne Bc,18: 255,I/21: 115,after Z 6804; text after Rist,00097
78/7,1.,1724-09-10,"chorale setting ""Jesu, der du meine Seele"" (s. 12)",G min.,SATB,18: 286,III/2.1: 60 III/2.2: 150,after Z 6804; text by Rist,11225
79,1.,1725-10-31,Cantata Gott der Herr ist Sonn und Schild (Reformation Day; two versions: Fl associated with 2nd c.1730),G maj.,sabSATB 2Hn Tmp (2Fl) 2Ob Str Bc,18: 287,I/31: 1,"after Z 5142 (/3), 159 (/6); text after Ps 84:12 (/1), by Rinkart (/3), Helmbold (/6); → BWV 236/2, /4, 234/5",00098
80.3,1.,c. 1735?,Cantata Ein feste Burg ist unser Gott (Reformation Day; 2nd Leipzig v.; Tr & Tmp in BGA likely W. F. Bach's addition),D maj.,satbSATB 3Ob 2Oba Odc Str Bc,18: 317,I/31: 71,after BWV 80.2 (same text),00099
80.1,1.,1715-03-24,"Cantata Alles, was von Gott geboren (Oculi; music lost)",,satb(?)SATB Ob Str Bc,,I/8.2: V,"after Z 7377 (/1, /6)?; text by Franck, S, Luther (/6); → BWV 80.2",00100
80.2,1.,c. 1729–1731,Cantata Ein feste Burg ist unser Gott (Reformation Day; 1st Leipzig version),D maj.,sbSATB Ob Str Bc,18: 351,I/31: 65,"after Z 7377, BWV 80.1 (/2–/4, /6–/7); text by Franck, S, Luther (/1, /2, /5, /8); → BWV 80.3",00101
80/8,1.,c. 1729–1731,"chorale setting ""Ein feste Burg ist unser Gott"" (s. 4)",D maj.,SATB,18: 378,III/2.1: 29 III/2.2: 162,after Z 7377; text by Luther,11195
81,1.,1724-01-30,"Cantata Jesus schläft, was soll ich hoffen? (Epiphany IV)",E min.,atbSATB 2Fl 2Oba Str Bc,201: 1,I/6: 111,"after Z 8032 (/7); text after Ps 10:1 (/2), Mt 8:26 (/4), by Franck, J. (/7)",00102
81/7,1.,1724-01-30,"chorale setting ""Jesu, meine Freude"" (s. 2)",E min.,SATB,201: 24,III/2.2: 188,"after Z 8032; text by Franck, J.",11305
82.1,1.,1727-02-02,Cantata Ich habe genug (Purification; 1st version),C min.,b Ob Str Bc,201: 25,I/28.1: 77,text by Birkmann; → BWV 82.2–.4,00103
82.2,1.,1731-02-02,Cantata Ich habe genug (Purification; 2nd version),E min.,s Fl Str Bc,,I/28.1: 155,after BWV 82.1 (same text); → 82.3–.4,00104
82.2/2–/3,1.,c.1731 (AMB),"Notebook A. M. Bach (1725) No. 34 Recitative ""Ich habe genug""; Aria ""Schlummert ein, ihr matten Augen""",E min.,s Bc,432: 46,V/4:122,after BWV 82.2; text by Birkmann,00104
82.2/3,1.,c.1731 (AMB),"Notebook A. M. Bach (1725) No. 38 Aria ""Schlummert ein, ihr matten Augen"" (incomplete)",E min.,s Bc,432: 49,V/4:122,after BWV 82.2; text by Birkmann,00104
82.3,1.,c.1735,Cantata Ich habe genug (Purification; 3rd version),C min.,b or mezzo Ob Str Bc,,I/28.1: 109,after BWV 82.1–.2 (same text); → 82.4,00105
82.4,1.,1746–1748,Cantata Ich habe genug (Purification; 4th version),C min.,b (or mezzo) Ob Odc Str Bc,,I/28.1: 109,after BWV 82.1–.3 (same text),00106
83,1.,1724-02-02,Cantata Erfreute Zeit im neuen Bunde (Purification),F maj.,atbSATB 2Hn 2Ob Vl Str Bc,201: 51,I/28.1: 3,"after Z 3986 (/5); text after Lk 2:29–31 (/2), Hb 4:16 (/3), by Luther (/5)",00107
83/5,1.,1724-02-02,"chorale setting ""Mit Fried und Freud ich fahr dahin"" (s. 4)",D min.,SATB,201: 76,III/2.2: 188,after Z 3986; text by Luther,11309
84,1.,1727-02-09,Cantata Ich bin vergnügt mit meinem Glücke (Septuagesimae),E min.,sSATB Ob Str Bc,201: 77,I/7: 21,"after Z 2778 (/5); text after Picander, by E. J. of Schwarzburg-Rudolstadt (/5)",00108
84/5,1.,1727-02-09,"chorale setting ""Wer weiß, wie nahe mir mein Ende"" (s. 12)",B min.,SATB,201: 98,III/2.1: 27 III/2.2: 63,after Z 2778; text by E. J. of Schwarzburg-Rudolstadt,11192
84/5,1.,1727-02-09,"chorale setting ""Wer nur den lieben Gott lässt walten""",B min.,SATB,201: 98,III/2.1: 27 III/2.2: 63,after Z 2778; text by Neumark,11192
85,1.,1725-04-15,Cantata Ich bin ein guter Hirt (Misericordias Domini),C min.,satbSATB 2Ob Str Vc Bc,201: 99,I/11.1: 157,"after Z 4457 (/3), 2542 (/6); text after Jh 10:12 (/1), by Becker (/3), Homburg  (/6)",00109
85/6,1.,1725-04-15,"chorale setting ""Ist Gott mein Schild und Helfersmann"" (s. 4)",C min.,SATB,201: 118,III/2.1: 74 III/2.2: 69,after Z 2542; text by Homburg ,11240
86,1.,1724-05-14,"Cantata Wahrlich, wahrlich, ich sage euch (Rogate)",E maj.,satbSATB 2Oba Str Bc,201: 119,I/12: 45,"after Z 2496c (/3), 4430 (/6); text after Jh 16:23 (/1), by Grünwald (/3), Speratus (/6)",00110
86/6,1.,1724-05-14,"chorale setting ""Es ist das Heil uns kommen her"" (s. 11)",E maj.,SATB,201: 134,III/2.2: 3,after Z 4430; text by Speratus,11322
87,1.,1725-05-06,Cantata Bisher habt ihr nichts gebeten in meinem Namen (Rogate),D min.,atbSATB 2Ob 2Odc Str Bc,201: 135,I/12: 61,"after Z 8032 (/7); text after Ziegler, C. M., Jh 16:24 (/1), by Müller, H. (/7)",00111
87/7,1.,1725-05-06,"chorale setting ""Selig ist die Seele"" (s. 9)",D min.,SATB,201: 152,III/2.1: 73 III/2.2: 54,"after Z 8032; text by Müller, H.",11239
87/7,1.,1725-05-06,"chorale setting ""Jesu, meine Freude""",D min.,SATB,201: 152,III/2.1: 73 III/2.2: 54,"after Z 8032; text by Franck, J.",11239
88,1.,1726-07-21,"Cantata Siehe, ich will viel Fischer aussenden (Trinity V)",D maj.,satbSATB 2Hn 2Oba Tai Str Bc,201: 153,I/17.2: 33,"after Z 2778 (/7); text: Meiningen, after Jer 16:16 (/1), Lk 5:10 (/4), by Neumark (/7)",00112
88/7,1.,1726-07-21,"chorale setting ""Wer nur den lieben Gott lässt walten"" (s. 7)",B min.,SATB,201: 178,III/2.2: 58,after Z 2778; text by Neumark,11312
89,1.,1723-10-24,"Cantata Was soll ich aus dir machen, Ephraim? (Trinity XXII)",C min.,sabSATB Hn 2Ob Str Bc,201: 179,I/26: 1,"after Z 2164 (/6); text after Hs 11:8 (/1), by Heermann (/6)",00113
89/6,1.,1723-10-24,"chorale setting ""Wo soll ich fliehen hin"" (s. 7)",G min.,SATB,201: 194,III/2.2: 167,after Z 2164; text by Heermann,11292
90,1.,1723-11-14,Cantata Es reißet euch ein schrecklich Ende (Trinity XXV),D min.,atbSATB (Tr) Str Bc,201: 195,I/27: 59,after Z 2561 (/5); text by Moller (/5),00114
90/5,1.,1723-11-14,"chorale setting ""Nimm von uns, Herr, du treuer Gott"" (s. 7)",D min.,SATB,201: 214,III/2.1: 33 III/2.2: 158,after Z 2561; text by Moller,11199
90/5,1.,1723-11-14,"chorale setting ""Vater unser im Himmelreich""",D min.,SATB,201: 214,III/2.1: 33 III/2.2: 158,after Z 2561; text by Luther,11199
91.2,1.,1746–1747,"Cantata Gelobet seist du, Jesu Christ (Christmas; later version)",G maj.,satbSATB 2Hn Tmp 3Ob Str Bc,22: 1,I/2: 131,after BWV 91.1 (same text),00115
91.1,1.,1724-12-25,"Cantata Gelobet seist du, Jesu Christ (Christmas; early version)",G maj.,satbSATB 2Hn Tmp 3Ob Str Bc,"22: 1, 333",I/2: 164,after Z 1947; text after Luther; → BWV 91.2,00116
91/6,1.,1724-12-25,"chorale setting ""Gelobet seist du, Jesu Christ"" (s. 7)",G maj.,SATB,,III/2.1: 89 III/2.2: 30,after Z 1947; text by Luther,11252
92,1.,1725-01-28,Cantata Ich hab in Gottes Herz und Sinn (Septuagesimae),B min.,satbSATB 2Oba Str Bc,22: 33,I/7: 41,after Z 7568; text after Gerhardt,00117
93,1.,1724-07-09,Cantata Wer nur den lieben Gott läßt walten (Trinity V),C min.,satbSATB 2Ob Str Bc,22: 69,I/17.2: 3,after Z 2778; text after Neumark; /4 → BWV 647,00118
94,1.,1724-08-06,Cantata Was frag ich nach der Welt (Trinity IX),D maj.,satbSATB Fl 2Ob 2Oba Str Bc,22: 95,I/19: 43,after Z 5206b–c; text after Kindermann,00119
94/8,1.,1724-08-06,"chorale setting ""Was frag ich nach der Welt"" (s. 8)",D maj.,SATB,22: 127,III/2.1: 53 III/2.2: 173,after Z 5206b–c; text by Kindermann,11215
95,1.,1723-09-12,"Cantata Christus, der ist mein Leben (Trinity XVI)",G maj.,stbSATB Hn or Cnt 2Ob 2Oba Str Bc,22: 129,I/23: 65,"after Z 132 & 3986 (/1: → BWV 282), 5404a (/3), 4482 (/7); text by Simon Graf  & Luther (/1), Herberger (/3), Herman (/7)",00120
95/7,1.,1723-09-12,"chorale setting ""Wenn mein Stündlein vorhanden ist"" (s. 4)",G maj.,SATB,22: 153,III/2.1: 64,after Z 4482; text by Herman,11229
96,1.,1724-10-08,"Cantata Herr Christ, der einge Gottessohn (Trinity XVIII)",F maj.,satbSATB Hn or Tbn Fl/Fl or Vl 2Ob Str Bc,22: 155,I/24: 1,after Z 4297a; text after Cruciger,00121
96/6,1.,1724-10-08,"chorale setting ""Herr Christ, der einge Gottessohn"" (s. 5)",F maj.,SATB,22: 184,III/2.1: 66 III/2.2: 179,after Z 4297a; text by Cruciger,11231
97,1.,1734-07-25? after 1735,Cantata In allen meinen Taten (two versions; Trinity V?),B♭ maj.,satbSATB 2Ob Str Bc,"22: 185, 336",I/34: 197,after Z 2293b; text by Fleming; /9 → BWV 392,00122
97/9,1.,1734-07-25? after 1735,"chorale setting ""In allen meinen Taten"" (s. 9)",B♭ maj.,SATB,22: 230,III/2.1: 49,after Z 2293b; text by Fleming; → BWV 392,11210
97/9,1.,1734-07-25? after 1735,"chorale setting ""Nun ruhen alle Wälder""",B♭ maj.,SATB,22: 230,III/2.1: 49,after Z 2293b; text by Gerhardt; → BWV 392,11210
98,1.,1726-11-10,"Cantata Was Gott tut, das ist wohlgetan (Trinity XXI)",B♭ maj.,satbSATB 2Ob Str Bc,22: 231,I/25: 241,"after Z 5629 (/1); text by Birkmann, Rodigast (/1)",00123
99,1.,1724-09-17,"Cantata Was Gott tut, das ist wohlgetan (Trinity XV)",G maj.,satbSATB Hn Fl Oba Str Bc,22: 251,I/22: 41,after Z 5629; text after Rodigast; /1 → BWV 100/1,00124
100,1.,1734–1735,"Cantata Was Gott tut, das ist wohlgetan",G maj.,satbSATB 2Hn Tmp Fl Oba Str Bc,22: 277,I/34: 239,"after Z 5629, BWV 99/1 (/1), 75/7 (/6); text by Rodigast",00125
100/6,1.,1734–1735,"chorale setting ""Was Gott tut, das ist wohlgetan"" (s. 6)",G maj.,SATB,22: 323,III/2.1: 72,after 75/7=/14; text by Rodigast,11238
101,1.,1724-08-13,"Cantata Nimm von uns, Herr, du treuer Gott (Trinity X)",D min.,satbSATB 2Hn Tmp Fl Oba Str Bc,23: 1,I/19: 173,after Z 2561; text after Moller,00126
101/7,1.,1724-08-13,"chorale setting ""Nimm von uns, Herr, du treuer Gott"" (s. 7)",D min.,SATB,23: 32,III/2.1: 54 III/2.2: 174,after Z 2561; text by Moller,11216
102,1.,1726-08-25,"Cantata Herr, deine Augen sehen nach dem Glauben (Trinity X)",G min.,atbSATB Fl Vl 2Ob Str Bc,23: 33,I/19: 229,"after Z 2561 (/7); text: Meiningen, after Jer 5:3 (/1: → BWV 235/1), Rm 2:4–5 (/4), by Heermann (/7); /3 & /5 → BWV 233/4 & /5",00127
102/7,1.,1726-08-25,"chorale setting ""So wahr ich lebe, spricht dein Gott"" (ss. 6–7)",C min.,SATB,23: 66,III/2.2: 62,after Z 2561; text by Heermann,11334
102/7,1.,1726-08-25,"chorale setting ""Vater unser im Himmelreich""",C min.,SATB,23: 66,III/2.2: 62,after Z 2561; text by Luther,11334
103,1.,1725-04-22 1731-04-15,"Cantata Ihr werdet weinen und heulen (Jubilate, 2 versions)",B min.,atSATB Tr Fl Fl (or) Vl 2Oba Str Bc,23: 67,I/11.2: 25,"after Z 7568 (/6); text by Ziegler, C. M., Gerhardt (/6)",00128
103/6,1.,1725-04-22 1731-04-15,"chorale setting ""Barmherzger Vater, höchster Gott"" (s. 9)",B min.,SATB,23: 94,III/2.1: 72 III/2.2: 68,after Z 7568; text by Gerhardt,11237
103/6,1.,1725-04-22 1731-04-15,"chorale setting ""Ich hab in Gottes Herz und Sinn""",B min.,SATB,23: 94,III/2.1: 72 III/2.2: 68,after Z 7568; text by Gerhardt,11237
103/6,1.,1725-04-22 1731-04-15,"chorale setting ""Was mein Gott will, das gscheh allzeit""",B min.,SATB,23: 94,III/2.1: 72 III/2.2: 68,after Z 7568; text by Albert of Prussia,11237
104,1.,1724-04-23,"Cantata Du Hirte Israel, höre (Misericordias)",G maj.,tbSATB 2Ob 2Oba Tai Str Bc,23: 95,I/11.1: 113,"after Z 4457 (/6); text after Ps 80:2 (/1), by Becker (/6)",00129
104/6,1.,1724-04-23,"chorale setting ""Der Herr ist mein getreuer Hirt"" (s. 1)",A maj.,SATB,23: 116,III/2.2: 189,after Z 4457; text by Becker,11283
104/6,1.,1724-04-23,"chorale setting ""Allein Gott in der Höh sei Ehr""",A maj.,SATB,23: 116,III/2.2: 189,after Z 4457; text by Decius,11283
104/6,1.,1724-04-23,"chorale setting ""Allein Gott in der Höh sei Ehr""",G maj.,SATB,,III/2.2: 71,after Z 4457; text by Decius,11290
105,1.,1723-07-25,"Cantata Herr, gehe nicht ins Gericht mit deinem Knecht (Trinity IX)",G min.,satbSATB Hn 2Ob Str Bc,23: 117,I/19: 1,"after Z 6804 (/6); text after Ps 143:2 (/1), by Rist (/6)",00130
105/6,1.,1723-07-25,"chorale setting ""Jesu, der du meine Seele"" (s. 11)",G min.,SATB,23: 146,III/2.1: 52,after Z 6804; text by Rist,11214
106,1.,1708-09-16?,Cantata Gottes Zeit ist die allerbeste Zeit (funeral; aka Actus tragicus),E♭ maj.,satbSATB 2Fl 2Vdg Bc,23: 147,I/34: 1,"after Z 1680 (/2d), 3986 (/3b), 2461 (/4); text after Olearius, J., Acts 17:28 & Ps 90:12 & Is 38:1 & JS 14:18 & Rv 22:20 (/2), Ps 31:6 & Lk 23:43 & by Luther (/3), Reusner (/4)",00131
